                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.82243,                0.72944,                 1.2291,                0.63968,                0.54241,                0.53075,                0.27609,                 1.5864,                 1.4366,                 1.9373,              0.0004358,              0.0004358,              0.0004358
                     81,                0.79675,                0.71265,                 1.2165,                 0.6346,                0.52455,                0.52835,                 0.2737,                 1.5706,                 1.4524,                 1.9525,               0.000416,               0.000416,               0.000416
                     82,                0.77619,                0.68617,                 1.2043,                0.65674,                0.52009,                0.53102,                0.27927,                 1.5778,                 1.4381,                 1.9571,              0.0003962,              0.0003962,              0.0003962
                     83,                0.78996,                0.71091,                 1.2156,                0.67852,                0.50881,                0.52528,                 0.2758,                 1.5972,                 1.4792,                 1.9559,              0.0003764,              0.0003764,              0.0003764
                     84,                0.79132,                0.70749,                 1.2103,                0.63473,                0.50425,                0.51578,                0.26875,                 1.6021,                 1.4797,                  1.969,              0.0003566,              0.0003566,              0.0003566
                     85,                0.76752,                0.69327,                 1.1976,                0.63973,                0.52009,                0.53065,                0.26821,                 1.5734,                 1.4899,                 1.9236,              0.0003368,              0.0003368,              0.0003368
                     86,                0.78212,                0.68173,                 1.2051,                0.64118,                0.49858,                0.52528,                0.26539,                 1.5944,                 1.4746,                 1.9554,               0.000317,               0.000317,               0.000317
                     87,                 0.7848,                 0.6997,                 1.2011,                0.63663,                0.50057,                0.50676,                0.26067,                 1.5813,                 1.5104,                 1.9392,              0.0002972,              0.0002972,              0.0002972
                     88,                0.77386,                 0.6971,                 1.2041,                0.66486,                 0.5181,                0.52172,                0.27009,                 1.5802,                 1.4603,                 1.9645,              0.0002774,              0.0002774,              0.0002774
                     89,                0.78463,                0.69278,                 1.2107,                0.67115,                0.49777,                0.50934,                0.26898,                 1.5782,                 1.4573,                 1.9635,              0.0002576,              0.0002576,              0.0002576
                     90,                0.78811,                0.69544,                  1.204,                0.69628,                0.52196,                0.54433,                0.27473,                 1.5737,                  1.413,                 1.9677,              0.0002378,              0.0002378,              0.0002378
                     91,                0.75109,                0.60906,                  1.242,                0.67708,                0.51116,                0.53514,                0.26944,                   1.61,                 1.4045,                 2.0076,               0.000218,               0.000218,               0.000218
                     92,                0.73269,                0.58631,                 1.2199,                0.70515,                 0.5067,                0.52825,                0.26881,                 1.6067,                 1.4269,                 2.0025,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.7208,                0.55756,                 1.2162,                0.69558,                0.51562,                0.53787,                0.27617,                 1.6116,                 1.4018,                 2.0169,              0.0001784,              0.0001784,              0.0001784
                     94,                0.71226,                0.55188,                 1.2061,                0.67749,                0.51116,                0.52681,                0.27213,                 1.5997,                 1.4237,                 2.0099,              0.0001586,              0.0001586,              0.0001586
                     95,                0.69504,                0.55799,                 1.2018,                0.66951,                0.49777,                0.51258,                0.25341,                 1.6187,                 1.4266,                 2.0262,              0.0001388,              0.0001388,              0.0001388
                     96,                0.69926,                0.55033,                 1.2089,                0.63509,                0.53222,                0.53061,                0.27297,                 1.5975,                 1.3941,                 2.0072,               0.000119,               0.000119,               0.000119
                     97,                0.69204,                0.53745,                 1.1978,                0.64245,                0.51337,                0.52596,                 0.2707,                 1.6131,                 1.4344,                 2.0226,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.68766,                 0.5353,                 1.1885,                0.64768,                0.52232,                0.52151,                0.26774,                 1.5965,                 1.4575,                 2.0135,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.68708,                0.52937,                 1.1862,                0.66759,                0.50207,                0.52584,                0.27048,                  1.595,                 1.4354,                 2.0032,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.67683,                0.53191,                 1.1874,                 0.6671,                0.50446,                0.52495,                0.26999,                 1.6056,                 1.4503,                 2.0259,               3.98e-05,               3.98e-05,               3.98e-05
